Week No,Curr_Rank,Prev_Rank,Operator,Alliance,Curr_Total_TEU,Prev_Total_TEU,Var_Total_TEU,Curr_Total_Ships,Prev_Total_Ships,Var_Total_Ships,Curr_Owned_TEU,Prev_Owned_TEU,Var_Owned_TEU,Curr_Owned_Ships,Prev_Owned_Ships,Var_Owned_Ships,Curr_Chartered_TEU,Prev_Chartered_TEU,Var_Chartered_TEU,Curr_Chartered_Ships,Prev_Chartered_Ships,Var_Chartered_Ships,Curr_Orderbook_TEU,Prev_Orderbook_TEU,Var_Orderbook_TEU,Curr_Orderbook_Ships,Prev_Orderbook_Ships,Var_Orderbook_Ships
17.0,55.0,55.0,Tropical Shg / TOTE Maritime,,17851,17851,0,24,24,0,16352,16352,0,21,21,0,1499,1499,0,3,3,0,0,0,0,0,0,0
17.0,56.0,56.0,Temas Line,,17253,17253,0,34,34,0,17253,17253,0,34,34,0,0,0,0,0,0,0,3920,3920,0,8,8,0
17.0,57.0,57.0,MTT Shipping,,16440,16440,0,17,17,0,13078,13078,0,14,14,0,3362,3362,0,3,3,0,5732,0,5732,4,0,4
17.0,58.0,58.0,Peel Ports (BG Freight),,16192,16192,0,16,16,0,0,0,0,0,0,0,16192,16192,0,16,16,0,0,0,0,0,0,0
17.0,59.0,60.0,Bengal Tiger Line,,15938,15742,196,9,9,0,0,0,0,0,0,0,15938,15742,196,9,9,0,0,0,0,0,0,0
17.0,60.0,59.0,Taicang Container Lines,,15861,15861,0,13,13,0,4369,4369,0,4,4,0,11492,11492,0,9,9,0,12024,12024,0,4,4,0
17.0,61.0,61.0,Transworld Group Singapore,,14922,14922,0,12,12,0,14922,14922,0,12,12,0,0,0,0,0,0,0,0,0,0,0,0,0
17.0,62.0,62.0,OVP Shipping,,14309,14309,0,10,10,0,0,0,0,0,0,0,14309,14309,0,10,10,0,8792,8700,92,2,2,0
17.0,63.0,63.0,Cool Carriers,,14217,14217,0,40,40,0,4022,4022,0,13,13,0,10195,10195,0,27,27,0,0,0,0,0,0,0
17.0,64.0,64.0,Pan Ocean (Container),,13683,13683,0,11,11,0,10995,10995,0,8,8,0,2688,2688,0,3,3,0,0,0,0,0,0,0
